28,Origine de l'obélisque,publish,Place de la Concorde,"En 1831, le vice-roi d'Egypte, Méhémet Ali, offre à  la France les deux obélisques qui marquent l'entrée du temple de Louxor à  Thèbes. Seul le premier d'entre eux sera transporté vers la France. C'est Louis-Philippe qui décide de l'ériger en 1836 sur la place de la Concorde.",Wikipedia,http://fr.wikipedia.org/wiki/Place_de_la_Concorde,48.8654487727066,2.3211407661438
30,La mort de Mesrine,publish,Porte de Clignancourt,"Le 2 novembre 1979 à  15h15, Mesrine, au volant de sa voiture avec sa compagne Sylvia Jeanjacquot, est encerclé par les hommes de la BRI, porte de Clignancourt à  Paris. Un camion bché, qui s'est inséré devant son véhicule, dissimule des tireurs qui ouvrent le feu. Il est tué de 18 balles, et retrouvé en possession de grenades et d'armes de poing dissimulées à  ses pieds.",Wikipedia,http://fr.wikipedia.org/wiki/Jacques_Mesrine,48.8979602962806,2.34427213668823
32,La période bleue de Picasso,publish,Café de la Rotonde,"Le peintre espagnol Carlos Casagemas se suicide d'une balle au café de la Rotonde en février 1901. Picasso, très marqué par la mort de son ami, peindra 3 toiles du défunt dont La Mort de Casagemas qui marquera le début de sa période bleue.",Wikipedia,http://fr.wikipedia.org/wiki/Carlos_Casagemas,48.8423164,2.3288014
52,Le palais de Chaillot en territoire international,publish,Palais de l'ONU,Le palais de Chaillot fut un territoire sous juridication de l'ONU l'espace des 83 jours qu'en dura la troisième assemblée générale en 1948. Lors de cette assemblée fut adoptée la Déclaration universelle des droits de l'homme.,Hubert Demory,http://mapage.noos.fr/hubert.demory/ONU.htm,48.862258570109,2.28826761245728
56,L'arrivée des trottoirs,publish,rue de l'Odéon,"C'est en 1781 que l'on décide d'établir ce qui peut être considéré comme le premier véritable trottoir à  Paris, le long de la rue du Thétre-Français, actuelle rue de l'Odéon, afin de protéger les passants se rendant au thétre.",Alfred Fierro,http://www.amazon.fr/Histoire-dictionnaire-Paris-Alfred-Fierro/dp/2221078624/ref=sr_1_1?s=books&ie=UTF8&qid=1301076474&sr=1-1,48.8506291,2.3387234
57,La Seine déborde!,publish,Pont de l'Alma,"Indicateur des crues de la Seine pour les Parisiens, le zouave du pont de l'Alma eut de l'eau jusqu'aux épaules en janvier 1910,  lors  de cette crue centennale historique où le niveau du fleuve monta à  plus de 8 mètres et inonda bonne partie de la capitale.",Paris inondé 1910,http://inondation1910.paris.fr/,48.8640972,2.30192009999996
60,La bataille du Mont-Thabor,publish,Rue du Mont-Thabor,"Le Mont Thabor (Israël), qui a donné son nom à  la rue, est le lieu d'une victoire napoléonienne en 1799, lors de la campagne d'Egypte, au cours de laquelle Bonaparte défit l'armée turque venue briser le siège de Saint-Jean-d'Acre. Sans aide extérieure, la ville résista cependant aux troupes du général jusqu'à  leur départ.",Wikipedia,http://fr.wikipedia.org/wiki/Mont_Thabor_(IsraÃ«l),48.866112196376,2.32732057571411
62,La bataille de Rivoli,publish,Rue de Rivoli,"Le plateau de Rivoli, dans le nord de l'Italie, fut le théâtre en janvier 1797 d'une victoire de Bonaparte sur les armées autrichiennes venues au secours de la ville de Mantoue assiégée. L'arrivée in extremis de Masséna, qui avait fait parcourir en marche forcée 148 km en deux jours à  ses troupes, permit de renverser la situation alors que la défaite française semblait acquise.",Wikipedia,http://fr.wikipedia.org/wiki/Bataille_de_Rivoli_(1797),48.8604416,2.3423387
63,La  Boum dans le Ve,publish,"Lycée Henri IV, 23 rue Clovis","C'est au lycée Henri IV qu'est scolarisée Vic,  l'héroïne adolescente interpétée par  la jeune Sophie Marceau, dans le film ""La Boum"" de Claude Pinoteau sorti en 1980. Plusieurs scènes furent tournées à  l'intérieur même du lycée et devant l'église voisine de Saint Etienne du Mont.",Wikipedia,http://fr.wikipedia.org/wiki/La_Boum,48.8461516,2.3490932
65,Le roi assassiné,publish,Rue de la Ferronnerie,"Le 14 mai 1610, alors que le roi Henri IV se dirige en carrosse vers l'Arsenal pour rendre visite à  son ministre Sully,  il est blessé mortellement rue de la Ferronnerie, d'un coup de couteau porté contre lui par François Ravaillac. Aujourd'hui les armes du roi dessinées au sol de la rue rappellent cet événement.",Wikipedia,http://fr.wikipedia.org/wiki/Henri_IV_de_France,48.8602851,2.3474127
